student_id,date,achievement_mean_7d,adaptation_mean_7d,relationship_mean_7d,total_delta_7d,label
STU001,2025-01-08,3.857142857142857,3.4285714285714284,3.857142857142857,-0.3333333333333335,0
STU001,2025-01-09,3.857142857142857,3.4285714285714284,3.857142857142857,0.0,0
STU001,2025-01-10,3.857142857142857,3.4285714285714284,4.142857142857143,0.6666666666666665,0
STU001,2025-01-11,4.0,3.4285714285714284,4.142857142857143,0.3333333333333335,0
STU001,2025-01-12,4.0,3.5714285714285716,4.0,0.0,0
STU001,2025-01-13,4.142857142857143,3.7142857142857144,4.0,0.6666666666666665,0
STU001,2025-01-14,4.285714285714286,3.7142857142857144,4.0,0.3333333333333335,0
STU001,2025-01-15,4.142857142857143,3.7142857142857144,4.142857142857143,0.0,0
STU001,2025-01-16,4.142857142857143,3.857142857142857,4.0,0.0,0
STU001,2025-01-17,4.285714285714286,3.857142857142857,4.0,0.3333333333333339,0
STU001,2025-01-18,4.142857142857143,4.0,4.0,0.0,0
STU001,2025-01-19,4.142857142857143,4.0,3.857142857142857,-0.3333333333333335,0
STU001,2025-01-20,4.142857142857143,3.857142857142857,3.857142857142857,-0.33333333333333304,0
STU001,2025-01-21,4.142857142857143,3.7142857142857144,3.857142857142857,-0.3333333333333335,0
STU001,2025-01-22,4.142857142857143,3.857142857142857,3.857142857142857,0.3333333333333335,0
STU001,2025-01-23,4.142857142857143,4.0,4.0,0.6666666666666665,0
STU001,2025-01-24,4.0,3.857142857142857,4.0,-0.666666666666667,0
STU001,2025-01-25,4.0,3.7142857142857144,4.0,-0.3333333333333335,0
STU001,2025-01-26,3.857142857142857,3.7142857142857144,4.142857142857143,0.0,0
STU001,2025-01-27,3.857142857142857,3.7142857142857144,4.142857142857143,0.0,0
STU001,2025-01-28,3.857142857142857,3.857142857142857,4.142857142857143,0.3333333333333335,0
STU001,2025-01-29,4.0,3.857142857142857,4.285714285714286,0.666666666666667,0
STU001,2025-01-30,4.0,3.7142857142857144,4.285714285714286,-0.33333333333333304,0
STU001,2025-01-31,4.142857142857143,3.857142857142857,4.142857142857143,0.33333333333333304,0
STU001,2025-02-01,4.142857142857143,4.0,4.142857142857143,0.3333333333333335,0
